,0,num,name,period,,5,6
1383,,1384.,Lorinczi Iuliu,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1076&leg=1996&cam=1
1384,,1385.,Lovin Dumitru,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=163&leg=2016&cam=2
1385,,1386.,Lubanovici Mircea,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=195&leg=2012&cam=2
1386,,1387.,Luca Andaluzia,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=164&leg=2016&cam=2
1387,,1388.,Luca Ciprian-Florin,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=164&leg=2008&cam=2
1388,,1389.,Luca Raymond,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=67&leg=2008&cam=1
1389,,1390.,Luchian Dragoº,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=47&leg=1990&cam=1
1390,,1391.,Luchian Dragoº,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=88&leg=2012&cam=1
1391,,1392.,Luchian Ion,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=89&leg=2012&cam=1
1392,,1393.,Luchin Milenco,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=197&leg=1990&cam=2
1393,,1394.,Lugojanu Mihai,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=417&leg=1990&cam=2
1394,,1395.,Lungu Constantin,1992-1996,senator,,/pls/parlam/structura2015.mp?idm=162&leg=1992&cam=1
1395,,1396.,Lungu Dan,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=73&leg=2016&cam=1
1396,,1397.,Lungu Gheorghe,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=198&leg=1990&cam=2
1397,,1398.,Lungu Marin,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=181&leg=1992&cam=2
1398,,1399.,Lungu Tudoriþa,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=165&leg=2016&cam=2
1399,,1400.,Lungu Vasile-Cristian,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=69&leg=2016&cam=1
1400,,1401.,Lup Ioan,1992-1996,senator,,/pls/parlam/structura2015.mp?idm=51&leg=1992&cam=1
1401,,1402.,Lup Silvestru Mircea,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=165&leg=2008&cam=2
1402,,1403.,Lupaºcu Costel,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=166&leg=2016&cam=2
1403,,1404.,Lupãu Gheorghiþã,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=199&leg=1990&cam=2
1404,,1405.,Lupescu Dumitru,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=167&leg=2016&cam=2
1405,,1406.,Lupoi Mihail,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=59&leg=2004&cam=1
1406,,1407.,Lupu Ioan,1992-1996,senator,,/pls/parlam/structura2015.mp?idm=52&leg=1992&cam=1
1407,,1408.,Lupu Mihai,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=196&leg=2012&cam=2
1408,,1409.,Lupu Neculae,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=200&leg=1990&cam=2
1409,,1410.,Lupu Vasile,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=62&leg=1996&cam=2
1410,,1411.,Lupu Victorel,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=70&leg=2016&cam=1
1411,,1412.,Lupuþiu Teodor,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=183&leg=1992&cam=2
1412,,1413.,Macaleþi Costicã,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=167&leg=2008&cam=2
1413,,1414.,Macarie Sergiu,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=111&leg=1996&cam=2
1414,,1415.,Macovei Silviu Nicu,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=168&leg=2016&cam=2
1415,,1416.,Macovei Tiberiu,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=203&leg=1990&cam=2
1416,,1417.,Madaras Lázár,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=184&leg=1992&cam=2
1417,,1418.,Maerean Epifanie-Tiberiu,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=205&leg=1990&cam=2
1418,,1419.,Magheru Paul,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=80&leg=2004&cam=2
1419,,1420.,Maghiar Teodor,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=148&leg=2000&cam=1
1420,,1421.,Magyar Loránd-Bálint,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=169&leg=2016&cam=2
1421,,1422.,Magyari Lajos,1992-1996,senator,,/pls/parlam/structura2015.mp?idm=53&leg=1992&cam=1
1422,,1423.,Maier Ioan,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=185&leg=1992&cam=2
1423,,1424.,Maior Dorin Lazãr,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=162&leg=2000&cam=2
1424,,1425.,Maior George-Cristian,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=60&leg=2004&cam=1
1425,,1426.,Maior Gregoriu-Petru,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=206&leg=1990&cam=2
1426,,1427.,Maior Liviu,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=47&leg=2000&cam=1
1427,,1428.,Makkai Grigore,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=163&leg=2000&cam=2
1428,,1429.,Man Mircea,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=197&leg=2012&cam=2
1429,,1430.,Mancaº Mihai-Emilian,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=208&leg=1990&cam=2
1430,,1431.,Mancia Mircea,1992-1996,senator,,/pls/parlam/structura2015.mp?idm=54&leg=1992&cam=1
1431,,1432.,Manda Iulian Claudiu,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=71&leg=2016&cam=1
1432,,1433.,Manea Ioan,1992-1996,senator,,/pls/parlam/structura2015.mp?idm=55&leg=1992&cam=1
1433,,1434.,Manea Victor-Gheorghe,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=199&leg=2012&cam=2
1434,,1435.,Mang Ioan,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=68&leg=2008&cam=1
1435,,1436.,Mangiurea Anton-Marin,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=188&leg=1992&cam=2
1436,,1437.,Manolache Adrian,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=96&leg=1990&cam=1
1437,,1438.,Manolache Marius,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=200&leg=2012&cam=2
1438,,1439.,Manole Adrian,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=210&leg=1990&cam=2
1439,,1440.,Manole Gheorghe,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=211&leg=1990&cam=2
1440,,1441.,Manole Odisei,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=53&leg=1996&cam=2
1441,,1442.,Manole Petre-Florin,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=170&leg=2016&cam=2
1442,,1443.,Manolescu Apolzan Nicolae,1992-1996,senator,,/pls/parlam/structura2015.mp?idm=56&leg=1992&cam=1
1443,,1444.,Manolescu Oana,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=201&leg=2012&cam=2
1444,,1445.,Manolescu Tudor,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=189&leg=1992&cam=2
1445,,1446.,Manoliu Dan,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=72&leg=2016&cam=1
1446,,1447.,Manoliu Lia,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=50&leg=1990&cam=1
1447,,1448.,Manta Pantelimon,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=154&leg=2004&cam=2
1448,,1449.,Marciu Ovidiu-Cristian-Dan,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=74&leg=2016&cam=1
1449,,1450.,Marcoci Vlad,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=202&leg=2012&cam=2
1450,,1451.,Marcu Gheorghe,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=69&leg=2008&cam=1
1451,,1452.,Marcu Grigore,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=396&leg=2000&cam=2
1452,,1453.,Marcu Ioan,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=213&leg=1990&cam=2
1453,,1454.,Marcu Ion,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=8&leg=2000&cam=1
1454,,1455.,Marcu Neculai Liviu,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=191&leg=1992&cam=2
1455,,1456.,Marcu Nicu,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=203&leg=2012&cam=2
1456,,1457.,Marcu Viorica,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=204&leg=2012&cam=2
1457,,1458.,Mardare Constantin,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=192&leg=1992&cam=2
1458,,1459.,Mardare Radu Cãtãlin,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=70&leg=2008&cam=1
1459,,1460.,Mardari Ludovic,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=166&leg=2000&cam=2
1460,,1461.,Mareº Mara,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=171&leg=2016&cam=2
1461,,1462.,Mareºi Dumitru,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=214&leg=1990&cam=2
1462,,1463.,Marian Dan Mihai,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=90&leg=2012&cam=1
1463,,1464.,Marian Ion Cristinel,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=205&leg=2012&cam=2
1464,,1465.,Marian Ovidiu,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=71&leg=2008&cam=1
1465,,1466.,Marian Valer,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=91&leg=2012&cam=1
1466,,1467.,Marica Petru-Sorin,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=172&leg=2016&cam=2
1467,,1468.,Marin Constantin,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=338&leg=2004&cam=2
1468,,1469.,Marin Dan Stelian,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1079&leg=1996&cam=1
1469,,1470.,Marin Gheorghe,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=75&leg=2016&cam=1
1470,,1471.,Marin Laura,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=413&leg=2012&cam=2
1471,,1472.,Marin Mircea,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=171&leg=2008&cam=2
1472,,1473.,Marin Nicolae,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=76&leg=2016&cam=1
1473,,1474.,Marineci Ionel,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=168&leg=2000&cam=2
1474,,1475.,Marinescu Antonella,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=172&leg=2008&cam=2
1475,,1476.,Marinescu Bogdan Voinea,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1080&leg=1996&cam=1
1476,,1477.,Marinescu Gabriel,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=216&leg=1990&cam=2
1477,,1478.,Marinescu Ioan,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=194&leg=1992&cam=2
1478,,1479.,Marinescu Ioan-Sorin,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=232&leg=1996&cam=2
1479,,1480.,Marinescu Marian-Jean,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=143&leg=2004&cam=2
1480,,1481.,Marinescu Marius,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=62&leg=2004&cam=1
1481,,1482.,Marinescu Simona Anamaria,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=19&leg=2000&cam=1
1482,,1483.,Markó Attila-Gabor,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=207&leg=2012&cam=2
1483,,1484.,Markó Béla,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=93&leg=2012&cam=1
1484,,1485.,Marocico Ion,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=208&leg=2012&cam=2
1485,,1486.,Martin Eduard-Stelian,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=209&leg=2012&cam=2
1486,,1487.,Márton Árpád-Francisc,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=173&leg=2016&cam=2
1487,,1488.,Marussi George-Nicolae,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=77&leg=2016&cam=1
1488,,1489.,Máté András-Levente,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=211&leg=2012&cam=2
1489,,1490.,Matei Cãlin-Vasile-Andrei,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=174&leg=2016&cam=2
1490,,1491.,Matei Cãtãlin Lucian,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=264&leg=2004&cam=2
1491,,1492.,Matei Constantin-Bogdan,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=78&leg=2016&cam=1
1492,,1493.,Matei Lucian Ion,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=50&leg=1996&cam=2
1493,,1494.,Matei Mircea,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=160&leg=2004&cam=1
1494,,1495.,Matei Vasile,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=317&leg=1996&cam=2
1495,,1496.,Matei Vasile,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=218&leg=1990&cam=2
1496,,1497.,Matei Vintilã,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=16&leg=2000&cam=1
1497,,1498.,Matei Viorel,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=6&leg=2000&cam=1
1498,,1499.,Matetovici Mihai,1996-2000,senator,,/pls/parlam/structura2015.mp?idm=1082&leg=1996&cam=1
1499,,1500.,Mátis Eugen,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=273&leg=1996&cam=2
1500,,1501.,Mazalik Iosif Alfréd,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=199&leg=1992&cam=2
1501,,1502.,Mazãre Alexandru,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=94&leg=2012&cam=1
1502,,1503.,Mazãre Radu ªtefan,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=233&leg=1996&cam=2
1503,,1504.,Mazilu Constantin,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=213&leg=2012&cam=2
1504,,1505.,Mazilu Liviu-Lucian,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=79&leg=2016&cam=1
1505,,1506.,Mãduþa Flavius-Luigi,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=214&leg=2012&cam=2
1506,,1507.,Mãgureanu Cezar Mircea,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=75&leg=2008&cam=1
1507,,1508.,Mãlaimare Mihai Adrian,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=88&leg=2004&cam=2
1508,,1509.,Mãnãilã Toader,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=219&leg=1990&cam=2
1509,,1510.,Mãnãstireanu Vladimir Alexandru,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=35&leg=2004&cam=2
1510,,1511.,Mãnescu Corneliu,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=48&leg=1990&cam=1
1511,,1512.,Mãnescu Miron,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=187&leg=1992&cam=2
1512,,1513.,Mãnescu Rareº ªerban,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=249&leg=2004&cam=2
1513,,1514.,Mãrãcineanu Adrian,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=171&leg=2000&cam=2
1514,,1515.,Mãrãºescu Nicolae,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=144&leg=2004&cam=1
1515,,1516.,Mãrculeþ Petrescu Mira Anca Victoria,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=185&leg=2004&cam=2
1516,,1517.,Mãrcuþianu Ovidius,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=76&leg=2008&cam=1
1517,,1518.,Mãrgãrit Miticã-Marius,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=175&leg=2016&cam=2
1518,,1519.,Mãrginean Nicolae,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=215&leg=1990&cam=2
1519,,1520.,Mãrgineanu ªtefan Gheorghe,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=49&leg=2000&cam=1
1520,,1521.,Mãtuºa Tudor,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=204&leg=2004&cam=2
1521,,1522.,Mândrea-Muraru Mihaela,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=196&leg=2000&cam=2
1522,,1523.,Mândroviceanu Vasile,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=185&leg=2000&cam=2
1523,,1524.,Mândru Traian,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=159&leg=2004&cam=1
1524,,1525.,Mânea Radu,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=103&leg=1996&cam=2
1525,,1526.,Mânzalã Alexandru,1990-1992,senator,,/pls/parlam/structura2015.mp?idm=51&leg=1990&cam=1
1526,,1527.,Meir Nati,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=214&leg=2004&cam=2
1527,,1528.,Meiroºu Marilena-Emilia,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=176&leg=2016&cam=2
1528,,1529.,Meleºcanu Teodor Viorel,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=80&leg=2016&cam=1
1529,,1530.,Melinte Doina-Ofelia,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=220&leg=1990&cam=2
1530,,1531.,Melinte Ion,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=215&leg=2012&cam=2
1531,,1532.,Mera Alexandru Liviu,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=172&leg=2000&cam=2
1532,,1533.,Merce Ilie,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=138&leg=2004&cam=2
1533,,1534.,Mereuþã Mircea Gheorghe,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=65&leg=2004&cam=1
1534,,1535.,Merka Adrian-Miroslav,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=216&leg=2012&cam=2
1535,,1536.,Mesaroº Serghei,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=221&leg=1990&cam=2
1536,,1537.,Meºca Sever,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=174&leg=2000&cam=2
1537,,1538.,Miclãuº Vasile,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=318&leg=1996&cam=2
1538,,1539.,Micle Ioan Radu,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=371&leg=2004&cam=2
1539,,1540.,Micle Ulpiu-Radu-Sabin,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=69&leg=1996&cam=2
1540,,1541.,Miclea Ioan,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=175&leg=2000&cam=2
1541,,1542.,Micula Cãtãlin,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=287&leg=2004&cam=2
1542,,1543.,Mihai Alfred-Laurentiu-Antonio,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=178&leg=2012&cam=1
1543,,1544.,Mihai Aurelian,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=217&leg=2012&cam=2
1544,,1545.,Mihai Cristian Dãnuþ,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=95&leg=2012&cam=1
1545,,1546.,Mihai Neagu,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=96&leg=2012&cam=1
1546,,1547.,Mihail Radu-Mihai,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=81&leg=2016&cam=1
1547,,1548.,Mihalache Sorin Dan,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=179&leg=2004&cam=2
1548,,1549.,Mihalachi Vasile,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=176&leg=2000&cam=2
1549,,1550.,Mihalescul Dumitru,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=177&leg=2016&cam=2
1550,,1551.,Mihãescu Eugen,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=66&leg=2004&cam=1
1551,,1552.,Mihãiescu Teodor-Horia,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=222&leg=1990&cam=2
1552,,1553.,Mihãilã Ioan,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=218&leg=2012&cam=2
1553,,1554.,Mihãilescu Ion,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=155&leg=2000&cam=1
1554,,1555.,Mihãilescu Ion-Bogdan,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=219&leg=2012&cam=2
1555,,1556.,Mihãilescu Petru ªerban,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=97&leg=2012&cam=1
1556,,1557.,Mihãilescu Teodora Dorina,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=270&leg=2004&cam=2
1557,,1558.,Mihãlãchioiu Marius,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=223&leg=1990&cam=2
1558,,1559.,Mihãlcescu Carmen-Ileana,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=183&leg=2016&cam=2
1559,,1560.,Mihei Andrian-Sirojea,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=125&leg=2004&cam=2
1560,,1561.,Miheþiu Ioan Gheorghe,2004-2008,senator,,/pls/parlam/structura2015.mp?idm=153&leg=2004&cam=1
1561,,1562.,Mihordea Mircea,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=112&leg=2000&cam=1
1562,,1563.,Mihu ªtefan,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=82&leg=2016&cam=1
1563,,1564.,Mihu Victor Traian,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=158&leg=1996&cam=2
1564,,1565.,Mihuþ Ioan,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=224&leg=1990&cam=2
1565,,1566.,Militaru Constantin Severus,2008-2012,deputat,,/pls/parlam/structura2015.mp?idm=178&leg=2008&cam=2
1566,,1567.,Militaru Lucian,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=220&leg=2012&cam=2
1567,,1568.,Miloº Aurel,1996-2000,deputat,,/pls/parlam/structura2015.mp?idm=257&leg=1996&cam=2
1568,,1569.,Mincã Liliana,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=221&leg=2012&cam=2
1569,,1570.,Mincu Iulian,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=179&leg=2000&cam=2
1570,,1571.,Mircea Constantin,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=225&leg=1990&cam=2
1571,,1572.,Mircea Costache,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=106&leg=2004&cam=2
1572,,1573.,Mircea Florin,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=350&leg=2016&cam=2
1573,,1574.,Mirciov Petru,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=337&leg=2000&cam=2
1574,,1575.,Mircovici Niculae,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=222&leg=2012&cam=2
1575,,1576.,Mirea Siminica,2016-prezent,senator,,/pls/parlam/structura2015.mp?idm=83&leg=2016&cam=1
1576,,1577.,Mirea Stelian Corneliu,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=401&leg=1990&cam=2
1577,,1578.,Miron Mihai,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=226&leg=1990&cam=2
1578,,1579.,Miron Vasile,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=182&leg=2000&cam=2
1579,,1580.,Miron Vasilica Steliana,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=98&leg=2012&cam=1
1580,,1581.,Mironescu Laurenþiu,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=24&leg=2004&cam=2
1581,,1582.,Mironescu Rãzvan Horia,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=223&leg=2012&cam=2
1582,,1583.,Miroºeanu Liviu Alexandru,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=74&leg=2004&cam=2
1583,,1584.,Mischie Nicolae,2000-2004,senator,,/pls/parlam/structura2015.mp?idm=95&leg=2000&cam=1
1584,,1585.,Mitiºor Dorin,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=430&leg=1990&cam=2
1585,,1586.,Mitrea Elena,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=79&leg=2008&cam=1
1586,,1587.,Mitrea Manuela,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=224&leg=2012&cam=2
1587,,1588.,Mitrea Miron Tudor,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=225&leg=2012&cam=2
1588,,1589.,Mitu Augustin Constantin,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=99&leg=2012&cam=1
1589,,1590.,Mitu Eugen,1990-1992,deputat,,/pls/parlam/structura2015.mp?idm=228&leg=1990&cam=2
1590,,1591.,Mitu Octavian,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=184&leg=2000&cam=2
1591,,1592.,Miþaru Anton,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=178&leg=2000&cam=2
1592,,1593.,Miuþescu Gheorghe Adrian,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=67&leg=2004&cam=2
1593,,1594.,Mînzatu Roxana,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=178&leg=2016&cam=2
1594,,1595.,Mînzînã Ion,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=202&leg=2004&cam=2
1595,,1596.,Mîrza Gavril,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=226&leg=2012&cam=2
1596,,1597.,Mladin Liviu,1992-1996,deputat,,/pls/parlam/structura2015.mp?idm=356&leg=1992&cam=2
1597,,1598.,Mocanu Adrian,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=180&leg=2016&cam=2
1598,,1599.,Mocanu Alexandru,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=82&leg=2008&cam=1
1599,,1600.,Mocanu Dumitru,1992-1996,senator,,/pls/parlam/structura2015.mp?idm=62&leg=1992&cam=1
1600,,1601.,Mocanu Toader,2008-2012,senator,,/pls/parlam/structura2015.mp?idm=83&leg=2008&cam=1
1601,,1602.,Mocanu Vasile,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=228&leg=2012&cam=2
1602,,1603.,Mocanu Victor,2012-2016,senator,,/pls/parlam/structura2015.mp?idm=100&leg=2012&cam=1
1603,,1604.,Mocãnescu Coloros Dan Constantin,2004-2008,deputat,,/pls/parlam/structura2015.mp?idm=129&leg=2004&cam=2
1604,,1605.,Mocioalcã Ion,2016-prezent,deputat,,/pls/parlam/structura2015.mp?idm=181&leg=2016&cam=2
1605,,1606.,Mocioi Ion,2000-2004,deputat,,/pls/parlam/structura2015.mp?idm=186&leg=2000&cam=2
1606,,1607.,Mocioi Niculina,2012-2016,deputat,,/pls/parlam/structura2015.mp?idm=230&leg=2012&cam=2
